"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Rizzo, Anthony",519203,2024,197,18.8,6.6,0.321,0.303,32.2,5.6,32.2,97.557667917,92.815743077,19.8,50.5
"Sheets, Gavin",657757,2024,154,16.9,11.7,0.334,0.367,40.2,6.5,39.3,100.012757358,94.437987547,19.8,43.5
"Stott, Bryson",681082,2024,168,13.7,14.9,0.374,0.351,37.6,6,29.9,97.323585172,92.838078348,18.4,40
"Altuve, Jose",514888,2024,207,16.9,7.7,0.374,0.333,39,7.8,33.1,97.355141333,92.694226467,18.5,50.1
"Westburg, Jordan",676059,2024,171,19.9,6.4,0.377,0.378,37.1,8.9,52.4,102.583277258,96.033585041,31.2,51.1
"Garcia, Maikel",672580,2024,205,18.5,6.3,0.305,0.323,36.4,7.8,46.1,100.876463158,94.919097632,18.9,43
"Castro, Willi",650489,2024,173,25.4,6.4,0.324,0.323,39.1,6.1,38.3,98.993287857,93.603757054,26.4,51.9
"Bogaerts, Xander",593428,2024,199,20.1,6,0.261,0.315,37.4,6.8,31.3,97.487847162,92.796496667,20.8,42.7
"Bregman, Alex",608324,2024,188,13.3,9,0.289,0.284,30.1,4.8,34.2,96.861817808,92.430908904,11.9,44
"Benintendi, Andrew",643217,2024,166,19.3,3.6,0.225,0.296,39.1,6.3,30.5,96.202347937,92.185692,19.6,49.5
"Polanco, Jorge",593871,2024,168,31.5,12.5,0.278,0.285,30.1,6.5,37.6,98.984238478,93.562614783,28.8,42.7
"Realmuto, J.T.",592663,2024,165,24.2,6.1,0.328,0.339,34.2,9.6,51.8,102.008334561,95.470408684,26.5,50.9
"Contreras, William",661388,2024,209,19.1,11,0.414,0.383,32.6,11.1,57.6,105.168122778,97.852875175,30.2,45.5
"Vaughn, Andrew",683734,2024,182,24.2,6,0.255,0.307,37.6,6.4,41.6,100.707580159,94.61532736,25.4,47.7
"Judge, Aaron",592450,2024,215,24.7,17.7,0.416,0.458,40.5,27.3,61.2,107.27785082,99.105160992,32.8,42
"Diaz, Yainer",673237,2024,177,14.7,4.5,0.294,0.303,26.8,5.6,49.3,101.258590141,95.181283873,21.3,57.8
"Conforto, Michael",624424,2024,154,20.8,7.1,0.358,0.351,28.8,9.9,44.1,100.515236964,94.610788108,24.7,49
"Bleday, JJ",668709,2024,186,19.9,10.2,0.330,0.314,34.6,7.7,33.1,98.90354375,93.452397031,28.6,43.3
"Hoskins, Rhys",656555,2024,156,21.2,11.5,0.358,0.373,32.7,15.8,40.6,99.74518098,94.06187901,24.3,38.8
"Morel, Christopher",666624,2024,194,20.6,10.8,0.314,0.384,29,12.2,45.8,102.425053939,95.59019687,28.4,47.9
"Canha, Mark",592192,2024,178,21.3,12.4,0.345,0.316,33,5.4,42.9,99.194355536,93.938093929,21.9,39.1
"Rodgers, Brendan",663898,2024,163,23.9,6.1,0.290,0.292,29.8,3.5,45.6,100.611702982,94.65686885,23.9,48.5
"Turner, Trea",607208,2024,148,18.9,6.1,0.377,0.329,33,6.4,45.9,100.237389818,94.480760734,22.7,50.5
"Varsho, Daulton",662139,2024,159,23.3,11.3,0.316,0.277,27.9,7.7,34.6,98.186698235,93.143778317,21.6,45.3
"Arraez, Luis",650333,2024,203,6.4,5.4,0.327,0.329,43.2,1.7,23.3,94.895296136,91.503471143,9,47.9
"Machado, Manny",592518,2024,183,23,7.1,0.276,0.322,32.8,10.2,50,102.732554063,95.940225748,26.6,50
"Schanuel, Nolan",694384,2024,167,17.4,9,0.286,0.304,28.9,3.3,27.3,95.273615763,91.668018632,14.6,40
